"LOC1(2.5,2.5)",,,,"2.5,5",,,,"2.5,7.5",,,,"5,2.5",,,,"5,5",,,,"5,7.5",,,,"7.5,2.5",,,,"7.5,5",,,,"6.85,7.5",,,,"0,0",,,,"0,7.5",,,,"7.5,0",,,
28:E8,1C:D6,3B:86,D8:68,28:E8,1C:D6,3B:86,D8:68,28:E8,1C:D6,3B:86,D8:68,28:E8,1C:D6,3B:86,D8:68,28:E8,1C:D6,3B:86,D8:68,28:E8,1C:D6,3B:86,D8:68,28:E8,1C:D6,3B:86,D8:68,28:E8,1C:D6,3B:86,D8:68,28:E8,1C:D6,3B:86,D8:68,28:E8,1C:D6,3B:86,D8:68,28:E8,1C:D6,3B:86,D8:68,28:E8,1C:D6,3B:86,D8:68
,-69,-70,-73,-69,-62,-61,-70,-68,-85,-63,-70,-67,-68,-84,-74,-60,-74,-66,-74,-55,-74,-64,-67,-76,-66,-64,-83,-77,-93,-63,-73,-69,-68,-69,-73,-69,-65,-65,-73,-74,-72,-72,-64,-70,-71,-60,-77
,-67,-69,-75,-72,-61,-69,-68,-69,-90,-61,-77,-68,-71,-86,-78,-62,-75,-67,-88,-58,-76,-78,-64,-70,-67,-60,-87,-71,-84,-64,-74,-70,-76,-76,-72,-70,-64,-70,-72,-76,-73,-71,-63,-70,-69,-70,-74
,-69,-65,-68,-69,-63,-64,-69,-66,-90,-64,-76,-65,-70,-89,-81,-63,-76,-71,-90,-55,-73,-76,-70,-71,-66,-59,-90,-75,-79,-63,-71,-69,-77,-77,-76,-69,-63,-60,-67,-70,-78,-76,-64,-72,-68,-58,-71
,-70,-64,-71,-64,-62,-66,-67,-68,-68,-66,-71,-64,-72,-76,-76,-61,-72,-72,-78,-56,-76,-62,-71,-69,-68,-61,-71,-73,-76,-62,-69,-68,-78,-75,-89,-68,-62,-62,-68,-75,-79,-72,-72,-80,-64,,-70
,-66,-66,-74,-63,-63,-63,-64,-67,-68,-67,-73,-75,-73,-78,-78,-60,-76,-69,-79,-55,-77,-63,-69,-71,-62,-62,-72,-74,-75,-64,-83,-71,-71,-74,-87,-67,-64,-61,-72,-77,-93,-77,-73,-76,-71,,-72
,-65,-64,-72,-64,-62,-70,-66,-68,-78,-63,-72,-69,-68,-72,-80,-62,-77,-67,-77,-56,-73,-62,-68,-67,-69,-60,-73,-71,-78,-79,-82,-69,-70,-69,-71,-66,-67,-70,-73,-73,-75,-75,-69,-75,-68,,-76
,-72,-63,-68,-71,,-74,-64,-77,-93,-65,-76,-64,-69,-75,-81,-61,-71,-66,-76,-54,-74,-64,-67,-68,-66,-61,-80,-70,-69,-81,-81,-70,-69,-70,-72,-67,,-60,-67,-77,-76,-80,-64,-74,-69,,-72
,-70,-73,-69,-73,,-62,-68,-66,-80,-68,-74,-65,-70,-92,-82,-63,-69,-72,-76,-58,-72,-76,-63,-77,-68,-63,-71,-71,-64,-86,-84,-69,-80,-76,-71,-67,,-61,-63,-70,-77,-86,-63,-70,-64,,-73
,-75,-66,-75,-64,,-68,-69,-69,-87,-63,-72,-76,-72,-87,-74,-60,-73,-74,-75,-56,-73,-77,-62,-75,-70,-66,-90,-73,-75,-68,-85,-72,-70,-73,-89,-68,,-60,-71,-77,-74,-76,-72,-71,-70,,
,-76,-65,-74,-64,,-76,-66,-68,-67,,,-68,-71,-73,-83,-61,-75,-71,-86,-55,-76,-62,-64,-67,-69,-65,-85,-74,-73,-67,-98,-73,-71,-75,-85,-71,,-63,-73,-78,-96,-74,-73,-82,-71,,
