pointModel__indoorLevel,pointModel__lat,pointModel__long,beaconDataList__name,beaconDataList__uuid,beaconDataList__macAddress,beaconDataList__major,beaconDataList__minor,beaconDataList__distance,beaconDataList__proximity,beaconDataList__rssi,beaconDataList__txPower,beaconDataList__scanTime
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.06,Near,-65,-60,3/11/2022 11:36
,,,null,383e5cf9-6c79-4e7b-902d-f6a8743d178f,A0:E6:F8:40:28:E8,1000,1056,1.46,Near,-78,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:2C:1C:D6,1000,1149,0.54,Near,-54,-60,3/11/2022 11:36
,,,null,edae28d6-489b-446c-af10-6663fb553136,A0:E6:F8:40:3B:86,1000,1027,1.85,Near,-68,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.06,Near,-65,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D9:29,1000,1143,1.13,Near,-64,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D8:68,1000,1168,1.92,Near,-74,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.07,Near,-58,-60,3/11/2022 11:36
,,,null,383e5cf9-6c79-4e7b-902d-f6a8743d178f,A0:E6:F8:40:28:E8,1000,1056,1.47,Near,-62,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:2C:1C:D6,1000,1149,0.51,Near,-61,-60,3/11/2022 11:36
,,,null,edae28d6-489b-446c-af10-6663fb553136,A0:E6:F8:40:3B:86,1000,1027,1.84,Near,-69,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.07,Near,-58,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D9:29,1000,1143,1.14,Near,-65,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D8:68,1000,1168,1.97,Near,-72,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.06,Near,-59,-60,3/11/2022 11:36
